Date,Time,Desc
1/31/2024,60,Download csv file and learn to read and display data to table.
2/3/2024,30,Start understanding tidyr on dataset and its ability to change layout of dataset and to fill missing data.s
2/7/2024,50,Read how to create QR codes to get to project github repository website and begin making data visualizations of college data
2/11/2024,40,Work to stylize visualizations for better display and legibility
2/12/2024,92,Work with visualization and how to display 777 objects or how to cut down on observations.
2/13/2024,40,"Making scatterplots and bubble charts focusing on rates of enrollment, graduation, or acceptances of each college."
2/18/2024,30,Look through example documentation and organization of info
2/20/2024,40,Finish documentation of college data set and create into pdf.
2/25/2024,112,Create reactive histogram of project data allowing to view selected variables and started displaying wordcloud with 2 possible limiters. Having trouble displaying wordcloud in app and displays in viewer.
2/26/2024,24,Fix Wordcloud to display in app
2/28/2024,45,Add Bar Chart displaying top 10 of certain categories
2/29/2024,62,Figure out how to stylize side bar and add way to split histogram by private and p
3/1/2024,20,Planning how to display differences between public and private within bar chart and wordcloud.
